rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Dejen Gebremeskel,ETH,26:51.02,,1,Sollentuna,
2,Abera Kuma,ETH,26:52.85,,2,Sollentuna,
3,Imane Merga,ETH,26:57.33,,3,Sollentuna,
4,Kenenisa Bekele,ETH,27:12.08,,1,"Eugene,OR",
5,Bedan Karoki Muchiri,KEN,27:13.12,,4,"Eugene,OR",
6,Birhan Nebebew,ETH,27:14.34,,5,"Eugene,OR",
7,Yigrem Demelash,ETH,27:15.51,,4,Sollentuna,
8,Vincent Kiprop Chepkok,KEN,27:17.30,,6,"Eugene,OR",
9,Teklemariam Medhin,ERI,27:19.97,,7,"Eugene,OR",
10,Paul Kipngetich Tanui,KEN,27:21.50,,1,Kitakyushu,
11,Mohamed Farah,GBR,27:21.71,,1,Moskva,Oct 08
12,Ibrahim Jeilan Gashu,ETH,27:22.23,,2,Moskva,Oct 08
13,Galen Rupp,USA,27:24.39,,4,Moskva,Oct 08
14,Atsedu Tsegay,ETH,27:28.11,,5,Sollentuna,
15,Kenneth Kiprop Kipkemoi,KEN,27:28.50,,7,Moskva,Oct 08
16,Emmanuel Kipkemei Bett,KEN,27:28.71,,9,"Eugene,OR",
17,Nguse Amlosom,ERI,27:29.21,,8,Moskva,Oct 08
18,Edward Waweru,KEN,27:30.51,,2r3,Kumagaya,
19,Timothy Toroitich,UGA,27:31.07,,10,"Eugene,OR",
20,Goitom Kifle,ERI,27:32.00,,11,"Eugene,OR",
21,Leonard Barsoton,KEN,27:33.13,,1r1,Fukagawa,
22,Karemi Jeremiah Thuku,KEN,27:33.38,,2r1,Fukagawa,
23,Mohammed Ahmed,CAN,27:35.76,,9,Moskva,Oct 08
24,Ben St.Lawrence,AUS,27:37.55,,1r1,"Palo Alto,CA",
25,Dathan Ritzenhein,USA,27:37.90,,10,Moskva,Oct 08
